Delivery Rate (%),Node Count (N),Branch Count (K),Faulty Nodes (f),Total Rounds,Success Rate (%),Raw Reliability,Avg Latency (ms)
95,16,4,1,1000,100.00%,1.0,30.37
95,20,4,2,1000,99.60%,0.996,31.45
95,25,5,2,1000,100.00%,1.0,31.43
95,36,6,3,1000,100.00%,1.0,33.12
95,40,6,3,1000,100.00%,1.0,35.41
95,49,7,4,1000,100.00%,1.0,47.14
