N,DR,K,f,q_global,groups,P_phase,P_first_view_theory,P_final_3views,P_final_5views,P_first_view_exp,P_final_exp
70,92,8,23,47,"[9, 9, 9, 9, 9, 9, 8, 8]",0.9800167548903181,0.9412402750153248,0.9997971199872779,0.9999992995151088,0.011,0.391
72,92,8,23,47,"[9, 9, 9, 9, 9, 9, 9, 9]",0.993387407727585,0.980293113167739,0.9999923466060645,0.9999999970277174,0.02,0.497
74,92,9,24,49,"[9, 9, 8, 8, 8, 8, 8, 8, 8]",0.9676338031073309,0.9060102155463008,0.9991696867642736,0.999992664946798,0.171,0.733
76,92,9,25,51,"[9, 9, 9, 9, 8, 8, 8, 8, 8]",0.9726439955730929,0.9201565677612209,0.9994910002216222,0.999996755139814,0.154,0.664
78,92,9,25,51,"[9, 9, 9, 9, 9, 9, 8, 8, 8]",0.9894981413023206,0.9688241327754068,0.999969699092929,0.9999999705494971,0.22,0.786
80,92,9,26,53,"[9, 9, 9, 9, 9, 9, 9, 9, 8]",0.9920360576979844,0.9762979411168439,0.9999866844773364,0.9999999925195046,0.006,0.334
82,92,9,27,55,"[10, 9, 9, 9, 9, 9, 9, 9, 9]",0.9818408784162806,0.946505908301448,0.9998469203525049,0.9999995619445488,0.006,0.152
84,92,9,27,55,"[10, 10, 10, 9, 9, 9, 9, 9, 9]",0.9642773618799408,0.896614820358521,0.998894967986127,0.9999881888704366,0.146,0.418
86,92,9,28,57,"[10, 10, 10, 10, 10, 9, 9, 9, 9]",0.9221014647461048,0.7840362371489598,0.9899273751904043,0.9995302092850417,0.079,0.373
88,92,9,29,59,"[10, 10, 10, 10, 10, 10, 10, 9, 9]",0.8700385762517165,0.6585905989788422,0.9602051907867493,0.9953615019516674,0.172,0.69
90,92,9,29,59,"[10, 10, 10, 10, 10, 10, 10, 10, 10]",0.8544699413749572,0.6238646371998624,0.94678519217538,0.9924712854682692,0.244,0.666
92,92,10,30,61,"[10, 10, 9, 9, 9, 9, 9, 9, 9, 9]",0.9814239194236726,0.9453005605173321,0.9998363377083034,0.9999995103177295,0.128,0.425
94,92,10,31,63,"[10, 10, 10, 10, 9, 9, 9, 9, 9, 9]",0.9491235230141758,0.855004127291495,0.9969516353215011,0.9999359117812147,0.087,0.293
96,92,10,31,63,"[10, 10, 10, 10, 10, 10, 9, 9, 9, 9]",0.9329470815011387,0.8120280499246146,0.9933583017458746,0.9997653258601554,0.222,0.768
98,92,10,32,65,"[10, 10, 10, 10, 10, 10, 10, 10, 9, 9]",0.8848670876774266,0.6928418711385044,0.9710208235054821,0.9972659272492213,0.24,0.702
100,92,10,33,67,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.8268801967898828,0.5653635079385232,0.9178933069769165,0.9844893165614973,0.17,0.544
16,94,4,5,11,"[4, 4, 4, 4]",0.6185212812803687,0.23662680543197773,0.555152947224,0.7407704360440968,0.25,0.503
18,94,4,5,11,"[5, 5, 4, 4]",0.8662226237931889,0.6499628989197638,0.9571113639076475,0.9947450281693409,0.558,0.969
20,94,4,6,13,"[5, 5, 5, 5]",0.9446180848600225,0.8428858591514177,0.996121660488932,0.9999042637582978,0.429,0.976
22,94,5,7,15,"[5, 5, 4, 4, 4]",0.7500814115492999,0.4220123969026239,0.8069118725539639,0.9354951131117332,0.312,0.841
24,94,5,7,15,"[5, 5, 5, 5, 4]",0.9448786943286486,0.843583679723951,0.9961731081021648,0.9999063710131278,0.684,0.997
26,94,5,8,17,"[6, 5, 5, 5, 5]",0.9668945430413529,0.9039352603353287,0.9991134728704073,0.9999918187427119,0.407,0.991
28,94,5,9,19,"[6, 6, 6, 5, 5]",0.9746246371953974,0.9257892992731489,0.9995913047434605,0.9999977492219979,0.131,0.893
30,94,5,9,19,"[6, 6, 6, 6, 6]",0.9963172812027188,0.9889924809148052,0.9999986662687059,0.9999999998383978,0.17,0.972
32,94,6,10,21,"[6, 6, 5, 5, 5, 5]",0.9814831182761516,0.9454716305806481,0.999837868450585,0.9999995179272809,0.38,0.981
34,94,6,11,23,"[6, 6, 6, 6, 5, 5]",0.9863686233530615,0.9596607804405846,0.9999343578986917,0.9999998931837177,0.083,0.827
36,94,6,11,23,"[6, 6, 6, 6, 6, 6]",0.9979215503512611,0.9937776019338056,0.9999997590797126,0.999999999990672,0.137,0.949
38,94,6,12,25,"[7, 7, 6, 6, 6, 6]",0.9623189559248455,0.891162949174284,0.9987107703190999,0.9999847284251319,0.305,0.568
40,94,6,13,27,"[7, 7, 7, 7, 6, 6]",0.886299686382087,0.6962124525805973,0.9719643968985324,0.9974126818299833,0.138,0.614
42,94,6,13,27,"[7, 7, 7, 7, 7, 7]",0.8795323206687241,0.6803860647065334,0.9673504560512691,0.9966647489287933,0.474,0.901
44,94,7,14,29,"[7, 7, 6, 6, 6, 6, 6]",0.9750961125799456,0.9271335030848821,0.9996131134129443,0.9999979458154628,0.294,0.562
46,94,7,15,31,"[7, 7, 7, 7, 6, 6, 6]",0.9175007527329396,0.772359135342439,0.9882035677001598,0.9993887045930262,0.15,0.615
48,94,7,15,31,"[7, 7, 7, 7, 7, 7, 6]",0.9266665691847122,0.7957387118364772,0.9914776728953613,0.9996444257258364,0.469,0.9
50,94,7,16,33,"[8, 7, 7, 7, 7, 7, 7]",0.9127496784152761,0.760422687673338,0.9862489118667664,0.9992107248261048,0.449,0.942
52,94,7,17,35,"[8, 8, 8, 7, 7, 7, 7]",0.9297369148281066,0.8036745659928025,0.9924328960735843,0.9997083359977135,0.496,0.98
54,94,7,17,35,"[8, 8, 8, 8, 8, 7, 7]",0.9792349173465117,0.9389893643442392,0.9997729002534731,0.9999991546671442,0.652,0.999
56,94,7,18,37,"[8, 8, 8, 8, 8, 8, 8]",0.9867968664832077,0.9609112660472692,0.9999402751850505,0.9999999087447159,0.443,0.98
58,94,8,19,39,"[8, 8, 7, 7, 7, 7, 7, 7]",0.9258038000891674,0.7935181727856813,0.9911966999558267,0.9996246735477243,0.387,0.921
60,94,8,19,39,"[8, 8, 8, 8, 7, 7, 7, 7]",0.9703462306411401,0.9136506541104124,0.9993561611837887,0.9999951994028792,0.576,0.99
62,94,8,20,41,"[8, 8, 8, 8, 8, 8, 7, 7]",0.9829138954944987,0.9496125033536569,0.9998720711939207,0.9999996752015775,0.592,0.996
64,94,8,21,43,"[8, 8, 8, 8, 8, 8, 8, 8]",0.9893424126799955,0.9683667800092538,0.9999683458828832,0.999999968324972,0.349,0.96
66,94,8,21,43,"[9, 9, 8, 8, 8, 8, 8, 8]",0.9966976670606154,0.9901256813771027,0.9999990372325241,0.9999999999061281,0.471,0.99
68,94,8,22,45,"[9, 9, 9, 9, 8, 8, 8, 8]",0.9974715851022512,0.9924339177885813,0.999999566875084,0.9999999999752055,0.488,0.985
70,94,8,23,47,"[9, 9, 9, 9, 9, 9, 8, 8]",0.9982242756344581,0.9946822808952328,0.9999998496248134,0.9999999999957476,0.055,0.798
72,94,8,23,47,"[9, 9, 9, 9, 9, 9, 9, 9]",0.999630771869911,0.9988927245476326,0.9999999986424151,0.9999999999999983,0.057,0.879
74,94,9,24,49,"[9, 9, 8, 8, 8, 8, 8, 8, 8]",0.9969292049033754,0.9908158751007727,0.9999992253360539,0.9999999999346585,0.402,0.981
76,94,9,25,51,"[9, 9, 9, 9, 8, 8, 8, 8, 8]",0.9976957823716476,0.9931032631375226,0.9999996719568536,0.9999999999843966,0.419,0.972
78,94,9,25,51,"[9, 9, 9, 9, 9, 9, 8, 8, 8]",0.9993979288732174,0.9981948738703329,0.999999994118032,0.9999999999999808,0.485,0.99
80,94,9,26,53,"[9, 9, 9, 9, 9, 9, 9, 9, 8]",0.9996129433390879,0.9988392793978539,0.9999999984361932,0.9999999999999979,0.036,0.75
82,94,9,27,55,"[10, 9, 9, 9, 9, 9, 9, 9, 9]",0.9987027599508225,0.9961133261646663,0.9999999412869975,0.999999999999113,0.027,0.524
84,94,9,27,55,"[10, 10, 10, 9, 9, 9, 9, 9, 9]",0.9966873564881892,0.9900949539340285,0.9999990282165488,0.9999999999046584,0.426,0.868
86,94,9,28,57,"[10, 10, 10, 10, 10, 9, 9, 9, 9]",0.9903442994097873,0.9713116956653998,0.999976388986032,0.9999999805676915,0.295,0.887
88,94,9,29,59,"[10, 10, 10, 10, 10, 10, 10, 9, 9]",0.9801611771624941,0.9416564600203134,0.9998014004185496,0.9999993239732494,0.554,0.993
90,94,9,29,59,"[10, 10, 10, 10, 10, 10, 10, 10, 10]",0.974274438691383,0.9247917042957207,0.9995746002388554,0.9999975938165453,0.609,0.985
92,94,10,30,61,"[10, 10, 9, 9, 9, 9, 9, 9, 9, 9]",0.9988191082085254,0.9964615064950856,0.9999999556947483,0.9999999999994452,0.397,0.861
94,94,10,31,63,"[10, 10, 10, 10, 9, 9, 9, 9, 9, 9]",0.9950290896442024,0.9851612759509583,0.9999967326950148,0.9999999992805795,0.349,0.792
96,94,10,31,63,"[10, 10, 10, 10, 10, 10, 9, 9, 9, 9]",0.9920230479258653,0.97625953148324,0.9999866196382097,0.9999999924586963,0.581,0.996
98,94,10,32,65,"[10, 10, 10, 10, 10, 10, 10, 10, 9, 9]",0.9831724514562254,0.950362088542482,0.9998776960453245,0.9999996986525643,0.668,0.988
100,94,10,33,67,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.9703443107168025,0.9136452308812573,0.9993560398659708,0.9999951978951661,0.551,0.986
16,95,4,5,11,"[4, 4, 4, 4]",0.701666857792614,0.3454561202576567,0.7195752772657376,0.8798582836775691,0.346,0.671
18,95,4,5,11,"[5, 5, 4, 4]",0.9118526563749965,0.7581829308676499,0.9858596272014728,0.9991731347021997,0.651,0.994
20,95,4,6,13,"[5, 5, 5, 5]",0.9706134151169044,0.9144055820505881,0.9993729006810811,0.9999954056168006,0.549,0.998
22,95,5,7,15,"[5, 5, 4, 4, 4]",0.8260703186590687,0.5637039184536528,0.9169491775562599,0.9841909212566491,0.444,0.943
24,95,5,7,15,"[5, 5, 5, 5, 4]",0.971433325030692,0.9167248278728598,0.9994225071426073,0.9999959952289281,0.769,0.999
26,95,5,8,17,"[6, 5, 5, 5, 5]",0.9842573213133068,0.9535115581981404,0.9998995303315072,0.999999782867442,0.531,0.999
28,95,5,9,19,"[6, 6, 6, 5, 5]",0.98908825039308,0.967620650796264,0.999966052769697,0.9999999644089682,0.215,0.98
30,95,5,9,19,"[6, 6, 6, 6, 6]",0.998837196633494,0.9965156446632495,0.9999999576973753,0.9999999999994864,0.265,0.994
32,95,6,10,21,"[6, 6, 5, 5, 5, 5]",0.9926795742115634,0.978199096244246,0.9999896384794439,0.9999999950753827,0.511,0.996
34,95,6,11,23,"[6, 6, 6, 6, 5, 5]",0.9950063475828812,0.9850937279174972,0.9999966878718461,0.9999999992640553,0.157,0.94
36,95,6,11,23,"[6, 6, 6, 6, 6, 6]",0.9994414233355409,0.9983252058560125,0.9999999953023105,0.9999999999999868,0.174,0.984
