N,DR,K,f,q_global,groups,P_phase,P_first_view_theory,P_final_3views,P_final_5views,P_first_view_exp,P_final_exp
32,96,6,10,21,"[6, 6, 5, 5, 5, 5]",0.9978114292445206,0.993448646776509,0.999999718814419,0.9999999999879314,0.663,1.0
34,96,6,11,23,"[6, 6, 6, 6, 5, 5]",0.9986295853238936,0.9958943875071455,0.9999999307955744,0.9999999999988335,0.23,0.988
36,96,6,11,23,"[6, 6, 6, 6, 6, 6]",0.9998959123910546,0.9996877696747271,0.9999999999695613,1.0,0.258,0.996
38,96,6,12,25,"[7, 7, 6, 6, 6, 6]",0.9932953285798659,0.9800205422036148,0.9999920246253341,0.9999999968164001,0.57,0.871
40,96,6,13,27,"[7, 7, 7, 7, 6, 6]",0.9720383988873331,0.9184388882627348,0.9994574379533406,0.9999963907606431,0.4,0.967
42,96,6,13,27,"[7, 7, 7, 7, 7, 7]",0.9785108636790195,0.9369080166591195,0.9997488561544652,0.9999990002972199,0.813,1.0
44,96,7,14,29,"[7, 7, 6, 6, 6, 6, 6]",0.9968671516518592,0.9906308684238069,0.9999991775717606,0.9999999999278067,0.578,0.884
46,96,7,15,31,"[7, 7, 7, 7, 6, 6, 6]",0.9860091236957116,0.9586118663076582,0.9999291030536431,0.9999998785551182,0.405,0.955
48,96,7,15,31,"[7, 7, 7, 7, 7, 7, 6]",0.9900051509907051,0.9703141455367724,0.9999738393420838,0.9999999769459214,0.808,0.999
50,96,7,16,33,"[8, 7, 7, 7, 7, 7, 7]",0.9881312741593744,0.9648147505296776,0.9999564405985158,0.9999999460733834,0.786,1.0
52,96,7,17,35,"[8, 8, 8, 7, 7, 7, 7]",0.991824499457727,0.975673468359811,0.9999856040416604,0.9999999914807577,0.824,1.0
54,96,7,17,35,"[8, 8, 8, 8, 8, 7, 7]",0.9986628793303824,0.9959939992755757,0.9999999357115329,0.9999999999989683,0.904,1.0
56,96,7,18,37,"[8, 8, 8, 8, 8, 8, 8]",0.9993052014936646,0.9979170523804767,0.999999990962776,0.9999999999999608,0.766,1.0
58,96,8,19,39,"[8, 8, 7, 7, 7, 7, 7, 7]",0.9906291733478957,0.9721501343454138,0.9999783992259774,0.9999999832461153,0.791,1.0
60,96,8,19,39,"[8, 8, 8, 8, 7, 7, 7, 7]",0.9974908044648116,0.9924912857830851,0.9999995766527666,0.9999999999761313,0.866,1.0
62,96,8,20,41,"[8, 8, 8, 8, 8, 8, 7, 7]",0.9990313504101426,0.997096865167645,0.9999999755318226,0.9999999999997938,0.883,1.0
64,96,8,21,43,"[8, 8, 8, 8, 8, 8, 8, 8]",0.9996109355800922,0.9988332607947519,0.9999999984117408,0.9999999999999979,0.707,1.0
